mahadevan_number,tamil_phoneme,hypothesis,source,notes
1,க,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
2,"ரகர், கரர், காரர்",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
3,"க், கர்",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
4,கண்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
5,கண்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
6,கி,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
7,கீ,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
8,கய்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
9,கய்ட்ட,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
10,கா,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
11,கற்ற,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
12,"காவ்வ,காவல்",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
13,காவ்வர்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
14,காவ்வன்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
15,ஆகாவ்வ,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
17,தவ (தவம்),VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
18,கா,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
19,கண(கண்ண),VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
20,கண்ணர்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
21,கய,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
22,கண,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
26,"கரர், காரர்",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
27,கட,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
28,கம,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
29,"மகம, கமகம",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
30,கம,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
31,கவ்வ,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
32,கவ் (வகௌ),VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
33,அகவ,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
34,கய்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
35,கண,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
36,கச,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
37,கலண,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
38,"கண்,கண்ண",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
39,"வக, கக",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
40,"கண,கண்ண",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
41,"கர், கர",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
42,தவகதவ,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
43,கண,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
47,"வர, வர்",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
48,ைார்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
49,முக',VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
53,ம,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
58,தவ (early form),VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
59,"ள், ை",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
60,"ைம்,ைன்,ைல்,ைர்",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
61,"நைம்,நைன்",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
62,ட்டள்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
63,மயிைட்டள்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
64,மயிைட்டள்,VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
65,"இை, இைம்",VPS2024,Indus_Scripts_Research_Keys_draft01.pdf Appendix A,
