mahadevan_number,tamil_phoneme,hypothesis,source
1,க,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
2,"ரகர், கரர், காரர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
3,"க், கர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
4,கண்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
5,கண்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
6,கி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
7,கீ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
8,கய்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
9,கய்ட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
10,கா,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
11,கற்ற,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
12,"காவ்ெ,காெல்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
13,காவ்ெர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
14,காவ்ென்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
15,ஆகாவ்ெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
17,தெ (தெம்),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
18,கா,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
19,கண(கண்ண),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
20,கண்ணர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
21,கய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
22,கண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
23,கரி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
24,ரிகரி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
25,கர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
26,"கரர், காரர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
27,கட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
28,கம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
29,"மகம, கமகம",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
30,கம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
31,கவ்ெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
32,கவ் (வகௌ),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
33,அகெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
34,கய்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
35,கண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
36,கச,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
37,கமண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
38,"கண்,கண்ண",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
39,"வக, கக",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
40,"கண,கண்ண",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
41,"கர், கர",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
42,தெகதெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
43,கண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
47,"ெர, ெர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
48,ளார்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
49,முக',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
50,"""ணாய்""",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
51,'கதளணஅ',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
52,'கதளனர்',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
53,ம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
57,'எறம்ப' = எருமம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
58,தெ (early form),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
59,"ள், ள",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
60,"ளம்,ளன்,ளல்,ளர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
61,"நலம்,நலன்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
62,ட்டள்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
63,மயிலட்டள்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
64,மயிலட்டள்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
65,"இள, இளம்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
66,"இளம், இல்லம்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
67,லா,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
