seal_id,hypothesis,tamil_reading,language,confidence,source
220,VPS2024,"சிவம், சிவன் (துணக்குறி = அம்,அன்,அல்,அர்)",tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
232,VPS2024,மலை அரச,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
327,VPS2024,"அரசணஅ, அரசனின்",tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
342,VPS2024,"தொழு, தொழுவம்",tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
343,VPS2024,அ தொழு = மாட்டுத் தொழுவம்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1007,VPS2024,ஆறு (உலட)ய,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1008,VPS2024,கோழி ஆர் இருைைா வயமூன் (ஆர்=ஊர்) [ைா- 6-ஆம் கவற்றுலம உருபு],tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1028,VPS2024,ஓவண்ணைார் கய் (உலடய) ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1030,VPS2024,வயமூன் ஓர் ஆகாவ்வ=பாற்பசுக் காவைர்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1102,VPS2024,தண்ணி,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1105,VPS2024,"தவ "" பன்னிரு வண ை வ்யமூன்",tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1109,VPS2024,தவ' இைைா ஆக்(கள்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1110,VPS2024,தவ சமதை தவ ண்ண(ல்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1114,VPS2024,தவ தவ இருைட்ட ஆ (தவ காரி மாடு),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1120,VPS2024,காரி மாடு,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1121,VPS2024,இடம இடம வய(ல்) காவ(ல்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1143,VPS2024,மிகச் சிறந்த வநய்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1046,VPS2024,யாழ ன ண்ணா,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1035,VPS2024,சி வண்(ணா) ஆறு உலடய,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1045,VPS2024,"வய(ல்) காவ்வன், வைிய காவ்வன்",tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1048,VPS2024,தய தய இருைன் (துலணக்குறி= அன்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1049,VPS2024,"வய ககாயிைண் பண "" ைாவ கதைண்ன ய்யா ஆ",tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1068,VPS2024,ண்(ண)ல் வ்யமூன் = அண்ணல் பால்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1070,VPS2024,ஆமு கம ண்(ணா),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1076,VPS2024,தவ தவ நய்= மிகச் சிறந்த வநய்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1078,VPS2024,மீ மீ தகர் ஆ= கமைாைர் ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1088,VPS2024,தவ வய ைா ை ன்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1094,VPS2024,மீ மீ ண்ணல் வ்யமூன்=கமைான அண்ணல் பால்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1098,VPS2024,மீ மீ இை ய்யா ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1102,VPS2024,தண்ண(ீர்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1105,VPS2024,தவ தவ பன்னிரு வன ண்ணல் பால்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1010,VPS2024,தவ தவ ைார் ண்ண கய் ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1116,VPS2024,மூ(த்த) தவ(த்தர்) கய் (உலடய) (6-அன் உருபு) ஆ ண(ய்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1127,VPS2024,வ ீவித் காவ்வ= கமைான வித்து காவல்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1129,VPS2024,சிவ ட மூ ஆகாவ்வ; ட-6-அன் உருபு,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1133,VPS2024,"ந ய் = வநய் (மு, மூ கபாை ந, நா பயனில்)",tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1143,VPS2024,ந ய் = வநய்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1147,VPS2024,வய இல்ைம் வ்யமூன்= வயல் வட்ீ டுப் பால் (வயல் வடுீ கைில் பாற் பண்ணய்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1150,VPS2024,ணாய் அரச ஆ= அரச ஆ நய்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1156,VPS2024,(இ)ை ழன் பன்னிரு ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1158,VPS2024,மீ மீ இை(ம்) சா ண,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1159,VPS2024,இட இட அய் ந ய் =இவ்விடம் சிறந்த வநய்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1168,VPS2024,ஓ வ்யமூன் = சிறந்த பால்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1170,VPS2024,தட ழ வ்யமூன் 84 | Page © Ponmuthu Shanmugham Reading Indus-Harappan Script,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1171,VPS2024,சிறந்த ஆ காவ்வ(ன்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1182,VPS2024,"கண் அய் கோயில் எறும்ப = கண் அய்யன் எறும்பு, எருலம (ஒைிப்கபாைிகள்)",tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1199,VPS2024,இைம ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1220,VPS2024,எருது,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1228,VPS2024,மீ மீ கோழி (ஊர்) ஆகாவ்வ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1229,VPS2024,மீ மீ நய்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1232,VPS2024,மீ மீ ைார் ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1235,VPS2024,தட இல் ைா ைன் (துலணக்குறி அன்; ைகர/ைகர மயக்கம்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1237,VPS2024,மயில் ய்யா ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1274,VPS2024,மீ மீ கோயில் ண் அல்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1275,VPS2024,[வய(து)] மூ ட ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1287,VPS2024,ஓர் ஆகாவ்வ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1314,VPS2024,சண்ணா ஆறுைன்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1326,VPS2024,மீ மீ ை இை(ம்) பால்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1335,VPS2024,தவ ட சங்க ஆ (சிறந்த வவள்லை ஆ),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1339,VPS2024,மூ தவ லக ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1341,VPS2024,தவ ண்ணா ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1344,VPS2024,"தவ "" ஏழு (இை)ஞான் ஆ",tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1350,VPS2024,இை ை சா ண ண் (ணகர மகர மயக்கம்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1414,VPS2024,இை வய(து) மூ-பன்னிரு (36) ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1345,VPS2024,தவ ட இை ை வ்யமூன்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1348,VPS2024,தவ ட ந ை ன்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1373,VPS2024,தவ ட நைன் இரு ைா ரின் ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1374,VPS2024,இை ண்ண ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1386,VPS2024,மீ மீ தவ ஆக்(கள்) தொழு (Zebu cattle shed),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1387,VPS2024,மீ மீ தவ ட ை ன் தொழு,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1407,VPS2024,தவ ண்(ண) கய் ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1427,VPS2024,ய் ந கர் = நய்க் கர்= வநய்க் காரர்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1447,VPS2024,ம ைா ை சா ண =குவிக்கப்பட்ட சாணம்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1456,VPS2024,மீ மீ ை வய(து) மூ(த்த) ச ண= சிறந்த மூத்த சாணம்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1466,VPS2024,மீ மீ கோயில் ஏழு ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1533,VPS2024,சா ண(ம்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1534,VPS2024,மூப மூப்ப ைா ை ன் தொழுவம்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1551,VPS2024,மீ மீ இரு ை ன்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1561,VPS2024,கோயில் மலை ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1628,VPS2024,பக்கம் 1- ை வ்வ இரு ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1628,VPS2024,பக்கம் 2- ை ம ச ண,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1707,VPS2024,கோயில் இட ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1708,VPS2024,கோயில் இட ண்ண ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1771,VPS2024,வன ை ைார் ஆ 85 | Page Indus-Harappan Script Research keys Research Keys,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
1801,VPS2024,வண்ண ை ைார் ஆ,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2014,VPS2024,ஆ தொழு,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2015,VPS2024,வ்யமூன் = பால்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2142,VPS2024,இை(ம்) சா ண(ம்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2056,VPS2024,தவ தவ ண ட ன ய்யா,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2057,VPS2024,மீ மீ ஓர் கண் ஆ (ஆ வநடில் குறி),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2059,VPS2024,மீ மீ சா ண,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2060,VPS2024,மீ மீ சா ண,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2061,VPS2024,ஆமு கண் ண(ல்),tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
2068,VPS2024,த மீ தமி ழ ட்டள் ஆ க்= ஒப்பற்ற தமிழத்தள் ஆக்கள்,tamil,0.65,Indus_Scripts_Research_Keys_draft01.pdf Appendix B
