seal_id,tamil_reading,hypothesis,confidence,source
220,"சிவம், சிவன் (துணக்குறி = அம்,அன்,அல்,அர்)",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
232,மலை அரச,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
327,"அரசணஅ, அரசனின்",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
342,"த ொழு, த ொழுவம்",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
343,அ த ொழு = மொட்டுத் த ொழுவம்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1007,ஆறு (உலை)ய,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1008,க ொழி ஆர் இருளைொ வயமூன் (ஆர்=ஊர்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1010,வ வ ளொர் ண்ண ய் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1028,ஓவண்ணளொர் ய் (உலைய) ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1030,வயமூன் ஓர் ஆ ொவ்வ=பொற்பசுக் ொவைர்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1035,சி வண்(ணொ) ஆறு உலைய,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1045,"வய(ல்) ொவ்வன், வைிய ொவ்வன்",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1046,யொழ ன ண்ணொ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1048,ய ய இருளன் (துலணக்குறி= அன்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1049,"வய க ொயிைண் பண "" ைொவ க ளண்ன ய்யொ ஆ",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1068,ண்(ண)ல் வ்யமூன் = அண்ணல் பொல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1070,ஆமு ம ண்(ணொ),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1076,வ வ ெய்= மி ச் சிறந் தெய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1078,மீ மீ ர் ஆ= கமைொளர் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1088,வ வய ைொ ள ன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1094,மீ மீ ண்ணல் வ்யமூன்=கமைொன அண்ணல் பொல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1098,மீ மீ இள ய்யொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1102,ண்ணி,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1102,ண்ண(ீர்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1105,"வ "" பன்னிரு வண ள வ்யமூன்",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1105,வ வ பன்னிரு வன ண்ணல் பொல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1109,வ' இளைொ ஆக்( ள்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1110,வ சம ள வ ண்ண(ல்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1114,வ வ இருளட்ை ஆ ( வ ொரி மொடு),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1116,மூ(த் ) வ(த் ர்) ய் (உலைய) (6-அன் உருபு) ஆ ண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1120,ொரி மொடு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1121,இைம இைம வய(ல்) ொவ(ல்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1127,வ ீ வித் ொவ்வ= கமைொன வித்து ொவல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1129,சிவ ை மூ ஆ ொவ்வ; ை-6-அன் உருபு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1133,"ெ ய் = தெய் (மு, மூ கபொை ெ, ெொ பயனில்)",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1143,மி ச் சிறந் தெய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1143,ெ ய் = தெய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1147,வய இல்ைம் வ்யமூன்= வயல் வட்ீ டுப் பொல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1150,ணொய் அரச ஆ= அரச ஆ ெய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1156,(இ)ை ழன் பன்னிரு ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1158,மீ மீ இள(ம்) சொ ண,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1159,இை இை அய் ெ ய் =இவ்விைம் சிறந் தெய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1168,ஓ வ்யமூன் = சிறந் பொல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1170,ை ழ வ்யமூன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1171,சிறந் ஆ ொவ்வ(ன்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1182,ண் அய் க ொயில் எறும்ப = ண் அய்யன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1199,இளம ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1220,எருது,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1228,மீ மீ க ொழி (ஊர்) ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1229,மீ மீ ெய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1232,மீ மீ ளொர் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1235,ை இல் ைொ ைன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1237,மயில் ய்யொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1274,மீ மீ க ொயில் ண் அல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1275,[வய(து)] மூ ை ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1287,ஓர் ஆ ொவ்வ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1314,சண்ணொ ஆறுளன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1326,மீ மீ ை இள(ம்) பொல்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1335,வ ை சங் ஆ (சிறந் தவள்லள ஆ),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1339,மூ வ ல ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1341,வ ண்ணொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1344,"வ "" ஏழு (இள)ஞொன் ஆ",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
