corpus_id,source_file,description,motif,site,material,sign_count,is_motifless,corpus_source,rmrl_url
M-1A,m001,unicorn I seal,unicorn,Mohenjo-daro,steatite,5,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-3A,m003,unicorn I seal,unicorn,Mohenjo-daro,steatite,3,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-4A,m004,unicorn I seal,unicorn,Mohenjo-daro,steatite,10,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-5A,m005,unicorn I seal,unicorn,Mohenjo-daro,steatite,6,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-6A,m006,unicorn I seal,unicorn,Mohenjo-daro,steatite,4,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-7A,m007,unicorn I seal,unicorn,Mohenjo-daro,steatite,11,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-8A,m008,unicorn I seal,unicorn,Mohenjo-daro,steatite,3,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-9A,m009,unicorn I seal,unicorn,Mohenjo-daro,steatite,3,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-10A,m010,unicorn I seal,unicorn,Mohenjo-daro,steatite,10,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-12A,m012,unicorn II seal,unicorn,Mohenjo-daro,steatite,9,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-13A,m013,unicorn II seal,unicorn,Mohenjo-daro,steatite,3,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-14A,m014,unicorn II seal,unicorn,Mohenjo-daro,steatite,5,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-15A,m015,unicorn II seal,unicorn,Mohenjo-daro,steatite,5,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-16A,m016,unicorn II seal,unicorn,Mohenjo-daro,steatite,4,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-17A,m017,unicorn II seal,unicorn,Mohenjo-daro,steatite,5,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-18A,m018,unicorn II seal,unicorn,Mohenjo-daro,steatite,3,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-19A,m019,unicorn II seal,unicorn,Mohenjo-daro,steatite,3,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-20A,m020,unicorn II seal,unicorn,Mohenjo-daro,steatite,8,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-21A,m021,unicorn II seal,unicorn,Mohenjo-daro,steatite,8,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-22A,m022,unicorn II seal,unicorn,Mohenjo-daro,steatite,7,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-23A,m023,unicorn II seal,unicorn,Mohenjo-daro,steatite,13,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-24A,m024,unicorn II seal,unicorn,Mohenjo-daro,steatite,7,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-25A,m025,unicorn II seal,unicorn,Mohenjo-daro,steatite,5,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-26A,m026,unicorn II seal,unicorn,Mohenjo-daro,steatite,5,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-27A,m027,unicorn II seal,unicorn,Mohenjo-daro,steatite,7,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-28A,m028,unicorn II seal,unicorn,Mohenjo-daro,steatite,8,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-29A,m029,unicorn II seal,unicorn,Mohenjo-daro,steatite,9,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-30A,m030,unicorn II seal,unicorn,Mohenjo-daro,steatite,7,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-31A,m031,unicorn III seal,unicorn,Mohenjo-daro,steatite,6,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-32A,m032,unicorn III seal,unicorn,Mohenjo-daro,steatite,4,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-33A,m033,unicorn III seal,unicorn,Mohenjo-daro,steatite,7,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-34A,m034,unicorn III seal,unicorn,Mohenjo-daro,steatite,7,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
M-35A,m035,unicorn III seal,unicorn,Mohenjo-daro,steatite,7,0,CISI/Parpola via mayig/indus-valley-script-corpus (MIT),https://www.indusscript.in
