seal_corpus_id,position,parpola_sign_id,features_raw,reading_direction
M-1A,0,P121,"[0, 1, 0, 1]",ltr
M-1A,1,P202,"[0, 1, 0, 0, 3]",ltr
M-1A,2,P385,"[0, 1, 0, 1]",ltr
M-1A,3,P073,"[0, 1, 0, 2, 1]",ltr
M-1A,4,P108,"[0, 1, 0, 0, 1, 0]",ltr
M-3A,0,P320,"[0, 1, 0, 3]",ltr
M-3A,1,P145,"[0, 1, 0]",ltr
M-3A,2,P094,"[0, 1, 0]",ltr
M-4A,0,P205,"[1410, 1, 10, 3, 4, 0, 2, 0]",ltr
M-4A,1,P186,"[0, 1, 10, 0, 0, 0, 0, 0]",ltr
M-4A,2,P147,"[0, 1, 0]",ltr
M-4A,3,P316,"[0, 1, 0, 1, 1, 1, 0]",ltr
M-4A,4,P056,"[0, 1, 0, 1]",ltr
M-4A,5,P122,"[0, 1, 0, 0]",ltr
M-4A,6,P237,"[0, 1, 0]",ltr
M-4A,7,P268,"[0, 1, 0, 2, 4]",ltr
M-4A,8,P268,"[0, 1, 0, 2, 4]",ltr
M-4A,9,P147,"[0, 1, 0]",ltr
M-5A,0,P324,"[80, 1, 50, 2, 0, 2, 1, 0]",ltr
M-5A,1,P096,"[20, 1, 10, 5, 3, 1]",ltr
M-5A,2,P062,"[10, 1, 0, 2, 0]",ltr
M-5A,3,P060,"[10, 1, 20]",ltr
M-5A,4,P120,"[0, 1, 0, 1, 0]",ltr
M-5A,5,P256,"[10, 1, 10, 1]",ltr
M-6A,0,P378,"[0, 1, 0, 0]",ltr
M-6A,1,P384,"[0, 1, 0]",ltr
M-6A,2,P201,"[0, 1, 0, 0]",ltr
M-6A,3,P065,"[0, 1, 0]",ltr
M-7A,0,P086,"[0, 1, 0, 2, 4, 2, 1]",ltr
M-7A,1,P352,"[0, 1, 0, 1, 0]",ltr
M-7A,2,P011,"[0, 1, 0, 0]",ltr
M-7A,3,P324,"[0, 1, 0, 0, 0, 1, 1, 0]",ltr
M-7A,4,P154,"[0, 1, 0, 0]",ltr
M-7A,5,P009,"[0, 1, 0, 1]",ltr
M-7A,6,P154,"[0, 1, 0, 0]",ltr
M-7A,7,P175,"[0, 1, 0]",ltr
M-7A,8,P062,"[0, 1, 0, 2, 0]",ltr
M-7A,9,P122,"[0, 1, 0, 0]",ltr
M-7A,10,P385,"[0, 1, 0, 1]",ltr
M-8A,0,P316,"[0, 1, 0, 1, 0, 0, 2]",ltr
M-8A,1,P011,"[0, 1, 0, 0]",ltr
M-8A,2,P270,"[0, 1, 0, 3, 0]",ltr
M-9A,0,P144,"[0, 1, 0]",ltr
M-9A,1,P205,"[0, 1, 0, 3, 3, 1, 0, 1]",ltr
M-9A,2,P327,"[0, 1, 0, 1, 2, 1, 1, 0, 0]",ltr
M-10A,0,P086,"[0, 1, 0, 2, 3, 2, 0]",ltr
M-10A,1,P204,"[0, 1, 0, 0, 1]",ltr
M-10A,2,P114,"[0, 1, 0, 1]",ltr
M-10A,3,P151,"[0, 1, 0]",ltr
M-10A,4,P316,"[0, 1, 0, 1, 0, 0, 2]",ltr
M-10A,5,P060,"[0, 1, 0]",ltr
M-10A,6,P364,"[0, 1, 0, 2, 0]",ltr
M-10A,7,P122,"[0, 1, 0, 0]",ltr
M-10A,8,P067,"[0, 1, 0, 0, 1, 1, 1]",ltr
M-10A,9,P221,"[20, 1, 30, 0]",ltr
M-12A,0,P324,"[20, 1, 30, 0, 0, 1, 1, 0]",ltr
M-12A,1,P086,"[0, 1, 0, 3, 1, 0, 0]",ltr
M-12A,2,P276,"[0, 1, 0]",ltr
M-12A,3,P058,"[0, 1, 0, 1]",ltr
M-12A,4,P122,"[0, 1, 0, 0]",ltr
M-12A,5,P202,"[0, 1, 0, 1, 2]",ltr
M-12A,6,P386,"[0, 1, 0, 0]",ltr
M-12A,7,P182,"[0, 1, 0, 1, 1]",ltr
M-12A,8,P108,"[0, 1, 0, 0, 1, 0]",ltr
M-13A,0,P202,"[0, 1, 0, 0, 3]",ltr
M-13A,1,P205,"[0, 1, 0, 3, 5, 1, 13, 0]",ltr
M-13A,2,P035,"[0, 1, 0, 1, 1]",ltr
M-14A,0,P324,"[10, 1, 10, 1, 0, 0, 1, 0]",ltr
M-14A,1,P117,"[0, 1, 0, 0]",ltr
M-14A,2,P210,"[0, 1, 0, 6]",ltr
M-14A,3,P122,"[0, 1, 0, 0]",ltr
M-14A,4,P385,"[0, 1, 0, 0]",ltr
