parpola_id,parpola_graphemes,wells_graphemes,mahadevan_id,mahadevan_number,description,feature_count,corpus_frequency
P000,V599,,,,Represents a section of significant damage or lost material,1,19
P001,V144|V143|V385|V539,W151,M012,12,"Person carrying two burdens, ",2,4
P002,V586,,M013,13,"Person carrying two burdens, small vertical stroke between legs",2,0
P003,V244|V320|V341|V465,W159|W160|W161,M011,11,"Person carrying two burdens, triangle or diamond for a head",4,2
P004,V145|V538,W153|W154|W155|W156|W158,M015,15,"Person carrying two burdens, jar handles for a head",3,6
P005,V750,,,,"Person carrying two burdens, jar handles for a head. Pitchfork off shoulder",4,0
P006,V370,W123,M016,16,"Two people, each carrying two burdens, carrying a tall hatched triangle between them",4,0
P007,V146|V374,W105|W107,M004,4,Person with flag for a head,1,1
P008,V147,W106,M005,5,Person with two flags for a head,0,0
P009,V134|V559,W100,M008,8,Person with three heads,1,5
P010,V505|V071|V252|V685,W101|W103,M009,9,"Person with three heads, bracketed by right parentheses",2,1
P011,V097|V534,W140,M017,17,Person with round breasts and one raised arm,1,10
P012,V268|V743,W098,M007,7,Person with an extra raised arm,1,1
P013,V133|V535,W090,M001,1,"Person with two arms and two legs, ",0,9
P014,V394,W093,M003,3,"Person with two arms and two legs, small vertical stroke between legs",0,1
P015,V518|V150,W097,M002,2,"Person with two arms and two legs, bracketed by tall vertical lines",0,0
P016,V110|V692,W091,M002,2,Two simple persons standing side by side,0,0
P017,V391,,M043,43,"Person with two arms and two legs, standing on a long horizontal stroke",0,0
P018,V754,,,,"Person with two arms and two legs, standing on a long horizontal stroke, bracketed by tall vertical strokes",0,0
P019,V148|V786,W137,M040,40,"Person with two arms and two legs, small leaf almost like a phallus on right thigh",0,0
P020,V149|V772,W104,M041,41,Person with a half-height caret coming off the right foot,0,1
P021,V741,W118,M042,42,Person standing on two wagon wheels,0,0
P022,V307,W094,M038,38,Person with pitchfork head across waist,1,1
P023,V135|V427,W095,M018,18,Person with short stick,1,1
P024,V449,W121,M037,37,Person with large animal leg,0,0
P025,V388|V237,,M021,21,Person holding tree with branches,1,0
P026,V138|V763,W130,M019,19,Person with pitchfork,1,2
P027,V353,W131,M020,20,"Person with pitchfork, small vertical stroke between feet",1,0
P028,V336,W133,M023,23,Person with antenna,1,0
P029,V697,W134,M024,24,Person with two antennae,1,0
P030,V340|V305,W145,,,"Person with short stick, several small vertical strokes coming away from stick",2,0
P031,V136|V450,W142,M025,25,Person with staff,0,3
P032,V570,W144,M026,26,"Person with staff, caged by four small vertical strokes",0,1
P033,V348,W143,,,Person with two staves,0,0
P034,V137,W146,M027,27,"Person with bow and arrow, but no bowstring",0,0
P035,V139|V390,W125|W126,M028,28,Person with bow and arrow,2,4
